=== ROBUST DEPENDENCY ANALYZER WITH DEEP FREQUENCY METRICS ===
Scanning folder: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\

Found project: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\PQSQED.csproj
Source files gathered: 145602
All classes discovered: 145590
Parsed: 17_November.cs -> PQSQED.17_November (direct deps: 14, substrings: 30)
Parsed: 18.cs -> PQSQED.18 (direct deps: 5, substrings: 1)
Parsed: 180.cs -> PQSQED.180 (direct deps: 6, substrings: 3)
Parsed: 180th.cs -> PQSQED.180th (direct deps: 8, substrings: 5)
Parsed: 1820s.cs -> PQSQED.1820s (direct deps: 1, substrings: 6)
Parsed: 1830s.cs -> PQSQED.1830s (direct deps: 1, substrings: 6)
Parsed: 1840s.cs -> PQSQED.1840s (direct deps: 1, substrings: 6)
Parsed: 1850s.cs -> PQSQED.1850s (direct deps: 1, substrings: 6)
Parsed: 1860s.cs -> PQSQED.1860s (direct deps: 1, substrings: 6)
Parsed: 1870s.cs -> PQSQED.1870s (direct deps: 1, substrings: 6)
Parsed: 1880s.cs -> PQSQED.1880s (direct deps: 1, substrings: 6)
Parsed: 1890s.cs -> PQSQED.1890s (direct deps: 1, substrings: 6)
Parsed: 18KaratGold.cs -> PQSQED.18KaratGold (direct deps: 4, substrings: 20)
Parsed: 18th.cs -> PQSQED.18th (direct deps: 6, substrings: 3)
Parsed: 19.cs -> PQSQED.19 (direct deps: 5, substrings: 1)
Parsed: 190.cs -> PQSQED.190 (direct deps: 6, substrings: 3)
Parsed: 1900s.cs -> PQSQED.1900s (direct deps: 1, substrings: 6)
Parsed: 190th.cs -> PQSQED.190th (direct deps: 7, substrings: 5)
Parsed: 1920s.cs -> PQSQED.1920s (direct deps: 1, substrings: 6)
Parsed: 1930s.cs -> PQSQED.1930s (direct deps: 1, substrings: 6)
Parsed: 1940s.cs -> PQSQED.1940s (direct deps: 1, substrings: 6)
Parsed: 1950s.cs -> PQSQED.1950s (direct deps: 1, substrings: 6)
Parsed: 1960s.cs -> PQSQED.1960s (direct deps: 1, substrings: 6)
Parsed: 1970s.cs -> PQSQED.1970s (direct deps: 1, substrings: 6)
Parsed: 1980s.cs -> PQSQED.1980s (direct deps: 1, substrings: 6)
Parsed: 1990s.cs -> PQSQED.1990s (direct deps: 1, substrings: 6)
Parsed: 19th.cs -> PQSQED.19th (direct deps: 6, substrings: 3)
