Class,Depth,Rank,DirectCount,DirectDependencies
PQSQED.Cnemidophorus,0,1,0,
PQSQED.Cobitidae,0,1,0,
PQSQED.Coccinellidae,0,1,0,
PQSQED.Cochlearius,0,1,0,
PQSQED.CockAHoop,0,1,0,
PQSQED.Coerebidae,0,1,0,
PQSQED.Cogged,0,1,0,
PQSQED.Coleoptera,0,1,0,
PQSQED.Coluber,0,1,0,
PQSQED.Columbidae,0,1,0,
PQSQED.Colymbiformes,0,1,0,
PQSQED.Commandment,0,1,0,
PQSQED.Condylura,0,1,0,
PQSQED.Contopus,0,1,0,
PQSQED.Coraciidae,0,1,0,
PQSQED.Corydalidae,0,1,0,
PQSQED.Cottidae,0,1,0,
PQSQED.Cracidae,0,1,0,
PQSQED.Cragged,0,1,0,
PQSQED.Craggy,0,1,0,
PQSQED.Crangonidae,0,1,0,
PQSQED.Craniata,0,1,0,
PQSQED.Crex,0,1,0,
PQSQED.Crocodilia,0,1,0,
PQSQED.Crocodylia,0,1,0,
PQSQED.Crotaphytus,0,1,0,
PQSQED.Cryptocercus,0,1,0,
PQSQED.Cuculiformes,0,1,0,
PQSQED.Cucumis,0,1,0,
PQSQED.Culicidae,0,1,0,
PQSQED.Cuniculus,0,1,0,
PQSQED.Cursorius,0,1,0,
PQSQED.Curvey,0,1,0,
PQSQED.Curvy,0,1,0,
PQSQED.Cyclopteridae,0,1,0,
PQSQED.Cymatiidae,0,1,0,
PQSQED.Cynoglossidae,0,1,0,
PQSQED.Cystophora,0,1,0,
PQSQED.Dacninae,0,1,0,
PQSQED.Dag,0,1,0,
PQSQED.Dasypodidae,0,1,0,
PQSQED.Dasyproctidae,0,1,0,
PQSQED.Decagram,0,1,0,
PQSQED.Decapoda,0,1,0,
PQSQED.Dekagram,0,1,0,
PQSQED.Delphinidae,0,1,0,
PQSQED.Dendraspis,0,1,0,
PQSQED.Dendroaspis,0,1,0,
PQSQED.Denisonia,0,1,0,
PQSQED.Dianthus,0,1,0,
PQSQED.DictyopterousInsect,0,1,0,
PQSQED.Didelphidae,0,1,0,
PQSQED.Dinornithidae,0,1,0,
PQSQED.Diomedeidae,0,1,0,
PQSQED.Dioscorea,0,1,0,
PQSQED.Dioscoreaceae,0,1,0,
PQSQED.Dkg,0,1,0,
PQSQED.Dolichonyx,0,1,0,
PQSQED.Dolichotis,0,1,0,
PQSQED.Dumetella,0,1,0,
PQSQED.Earnings,0,1,0,
PQSQED.Elasmobranchii,0,1,0,
PQSQED.Eleotridae,0,1,0,
PQSQED.Elephantidae,0,1,0,
PQSQED.Eliomys,0,1,0,
PQSQED.Elopidae,0,1,0,
PQSQED.Empetrum,0,1,0,
PQSQED.Engraulidae,0,1,0,
PQSQED.Enterobius,0,1,0,
PQSQED.Ephemerida,0,1,0,
PQSQED.Ephemeridae,0,1,0,
PQSQED.Ephemeroptera,0,1,0,
PQSQED.Ephippiorhynchus,0,1,0,
PQSQED.Eretmochelys,0,1,0,
PQSQED.Ericaceae,0,1,0,
PQSQED.Erythroid,0,1,0,
PQSQED.Esocidae,0,1,0,
PQSQED.Estrilda,0,1,0,
PQSQED.Eunectes,0,1,0,
PQSQED.Eurylaimi,0,1,0,
PQSQED.Fagus,0,1,0,
PQSQED.Fall,0,1,0,
PQSQED.Family_Acanthuridae,0,1,0,
PQSQED.Family_Acaridae,0,1,0,
PQSQED.Family_Acipenseridae,0,1,0,
PQSQED.Family_Agonidae,0,1,0,
PQSQED.Family_Alaudidae,0,1,0,
PQSQED.Family_Alcedinidae,0,1,0,
PQSQED.Family_Aleyrodidae,0,1,0,
PQSQED.Family_Alligatoridae,0,1,0,
PQSQED.Family_Amphioxidae,0,1,0,
PQSQED.Family_Anarhichadidae,0,1,0,
PQSQED.Family_Ancylostomatidae,0,1,0,
PQSQED.Family_Anhimidae,0,1,0,
PQSQED.Family_Anhingidae,0,1,0,
PQSQED.Family_Anthocerotaceae,0,1,0,
PQSQED.Family_Atrichornithidae,0,1,0,
PQSQED.Family_Atropidae,0,1,0,
PQSQED.Family_Aulostomidae,0,1,0,
PQSQED.Family_Balaenicipitidae,0,1,0,
PQSQED.Family_Balistidae,0,1,0,
PQSQED.Family_Boidae,0,1,0,
