=== DEPENDENCY CHAIN ANALYSIS WITH DEEP FREQUENCY METRICS ===
Folder: QRS_WRS_145603_classfiles_PQSQED\
Source files: 145602
Classes discovered: 145590

CLASS                                                          DEPTH       FREQUENCY            RANKSCORE    RANK   DIRECT
----------------------------------------------------------------------------------------------------------------------------------
PQSQED.OrientalBlackMushroom                                    1662          185712        1662000185712       1       14
PQSQED.MorchellaSemilibera                                      1662          181298        1662000181298       2       11
PQSQED.ChineseBlackMushroom                                     1662          166617        1662000166617       3       14
PQSQED.DryopterisGoldiana                                       1662          164955        1662000164955       4        7
PQSQED.LentinusEdodes                                           1662          160779        1662000160779       5       14
PQSQED.Genus_Cathaya                                            1662          119802        1662000119802       6        4
PQSQED.GoldenOakMushroom                                        1662           96564        1662000096564       7       14
PQSQED.GoldieSShieldFern                                        1662           89379        1662000089379       8        7
PQSQED.ShiitakeMushroom                                         1662           83686        1662000083686       9       14
PQSQED.HalfFreeMorel                                            1662           81264        1662000081264      10       11
PQSQED.GoldieSWoodFern                                          1662           71212        1662000071212      11        7
PQSQED.BellMorel                                                1662           63093        1662000063093      12       10
PQSQED.GoldieSFern                                              1662           59859        1662000059859      13        7
PQSQED.Verpa                                                    1662           44243        1662000044243      14       10
PQSQED.CowSHead                                                 1662           43844        1662000043844      15       11
PQSQED.Shiitake                                                 1662           40022        1662000040022      16       14
PQSQED.Subdivision_Pinophytina                                  1661          164190        1661000164190      17       12
PQSQED.Subdivision_Taxophytina                                  1661          162930        1661000162930      18       11
PQSQED.Subdivision_Ginkgophytina                                1661          159650        1661000159650      19       10
PQSQED.Subdivision_Ginkgophyta                                  1661          140654        1661000140654      20       10
PQSQED.Genus_Spirodela                                          1661          135606        1661000135606      21       11
PQSQED.CheilanthesLanosa                                        1661          123021        1661000123021      22       10
PQSQED.GymnospermousTree                                        1661          120675        1661000120675      23        4
PQSQED.Class_Ginkgophytina                                      1661          112615        1661000112615      24       10
PQSQED.Genus_Pseudotsuga                                        1661          104462        1661000104462      25        5
PQSQED.Class_Pinopsida                                          1661          101154        1661000101154      26       12
PQSQED.Genus_Lemna                                              1661          100134        1661000100134      27       15
PQSQED.Genus_Wolffia                                            1661           97797        1661000097797      28       14
PQSQED.Class_Ginkgopsida                                        1661           96571        1661000096571      29       10
PQSQED.Class_Taxopsida                                          1661           76417        1661000076417      30       11
PQSQED.WoolyLipFern                                             1661           72507        1661000072507      31       10
PQSQED.HairyLipFern                                             1661           71907        1661000071907      32       10
PQSQED.GrapeFern                                                1661           68805        1661000068805      33       10
PQSQED.Spirodela                                                1661           63898        1661000063898      34       11
PQSQED.Stipe                                                    1661           43574        1661000043574      35       11
PQSQED._class                                                   1661           35069        1661000035069      36      666
PQSQED.Pseudotsuga                                              1661           32754        1661000032754      37        5
PQSQED.Lemna                                                    1661           28426        1661000028426      38       15
PQSQED.Wolffia                                                  1661           26089        1661000026089      39       14
PQSQED.DirectorateFor_Inter_Services_Intelligence               1660          340436        1660000340436      40       16
PQSQED.Inter_Services_Intelligence                              1660          230146        1660000230146      41       16
PQSQED.Northern_Alliance                                        1660          175687        1660000175687      42       14
PQSQED.Group_Pteridospermaphyta                                 1660          171334        1660000171334      43       11
PQSQED.Division_Gymnospermophyta                                1660          169248        1660000169248      44       19
PQSQED.PodocarpusFerruginea                                     1660          159992        1660000159992      45        8
PQSQED.OligoporusLeucospongia                                   1660          158660        1660000158660      46       18
PQSQED.Group_Pteridospermae                                     1660          150200        1660000150200      47       11
PQSQED.Genus_Bennettitis                                        1660          148040        1660000148040      48        2
PQSQED.MacrozamiaSpiralis                                       1660          145378        1660000145378      49        8
PQSQED.Pteridospermaphyta                                       1660          143790        1660000143790      50       11
PQSQED.PseudolarixAmabilis                                      1660          143031        1660000143031      51        7
PQSQED.PrumnopitysFerruginea                                    1660          137119        1660000137119      52        8
PQSQED.AcerateLeaf                                              1660          131702        1660000131702      53        3
PQSQED.AraucariaBidwillii                                       1660          130416        1660000130416      54       12
PQSQED.SupportersOf_Islam                                       1660          130114        1660000130114      55       25
PQSQED.PodocarpusSpicata                                        1660          123231        1660000123231      56        4
PQSQED.Pteridospermae                                           1660          122656        1660000122656      57       11
PQSQED.MacrozamiaCommunis                                       1660          121770        1660000121770      58        8
PQSQED.CycasCircinalis                                          1660          120610        1660000120610      59        5
PQSQED.JuniperusCommunis                                        1660          117969        1660000117969      60       18
PQSQED.HarakatUl_Jihad_I_Islami                                 1660          117088        1660000117088      61       14
PQSQED.ParasitaxusUstus                                         1660          114124        1660000114124      62        8
PQSQED.CeleryPine                                               1660          114094        1660000114094      63       11
PQSQED.AraucariaAraucana                                        1660          111308        1660000111308      64        7
PQSQED.Ceratozamia                                              1660          110702        1660000110702      65       10
PQSQED.Class_Gymnospermae                                       1660          109811        1660000109811      66       19
PQSQED.Mullah_Mohammed_Omar                                     1660          109203        1660000109203      67       15
PQSQED.Pteridosperm                                             1660          108033        1660000108033      68        7
PQSQED.CommonJuniper                                            1660          107854        1660000107854      69       18
PQSQED.United_Front                                             1660          104137        1660000104137      70       14
PQSQED.Al_Rashid_Trust                                          1660          103109        1660000103109      71       18
PQSQED.Catenary                                                 1660          101537        1660000101537      72       17
PQSQED.HarkatUl_JihadE_Islami                                   1660          101052        1660000101052      73       14
PQSQED.AnsarAl_Islam                                            1660          101043        1660000101043      74       25
PQSQED.PrumnopitysTaxifolia                                     1660          100660        1660000100660      75        4
PQSQED.Bennettitis                                              1660           95238        1660000095238      76        2
PQSQED.Gymnospermophyta                                         1660           93823        1660000093823      77       19
PQSQED.GoldenLarch                                              1660           89100        1660000089100      78        7
PQSQED.ChilePine                                                1660           88957        1660000088957      79        7
PQSQED.ParasiteYew                                              1660           88281        1660000088281      80        8
PQSQED.Umma_TameerE_Nau                                         1660           85900        1660000085900      81       13
PQSQED.AbsoluteZero                                             1660           85415        1660000085415      82       10
PQSQED.BlackPine                                                1660           79580        1660000079580      83        4
PQSQED.Taleban                                                  1660           72197        1660000072197      84       13
PQSQED.CycasRevoluta                                            1660           67505        1660000067505      85        5
PQSQED.Mullah_Omar                                              1660           67182        1660000067182      86       15
PQSQED.Macrozamia                                               1660           64652        1660000064652      87       11
PQSQED.Burrawong                                                1660           60529        1660000060529      88        8
PQSQED.FernPalm                                                 1660           59609        1660000059609      89        5
PQSQED.SeedFern                                                 1660           58653        1660000058653      90        7
PQSQED.Cryptogamia                                              1660           54457        1660000054457      91       13
PQSQED.MonkeyPuzzle                                             1660           50986        1660000050986      92        7
PQSQED.Cathaya                                                  1660           48094        1660000048094      93        9
PQSQED.FalseSago                                                1660           43662        1660000043662      94        5
PQSQED.Matai                                                    1660           42669        1660000042669      95        4
PQSQED.Frond                                                    1660           42449        1660000042449      96        7
PQSQED.BunyaBunyaTree                                           1660           41996        1660000041996      97       12
PQSQED.Dioon                                                    1660           39553        1660000039553      98        8
PQSQED.Miro                                                     1660           24352        1660000024352      99        8
PQSQED.ISI                                                      1660           22003        1660000022003     100       16
PQSQED.BunyaBunya                                               1660           11529        1660000011529     101       12
PQSQED.UTN                                                      1660            4290        1660000004290     102       13
PQSQED.HUJI                                                     1660            2045        1660000002045     103       14
PQSQED.Order_Lyginopteridales                                   1659          216016        1659000216016     104        5
PQSQED.Transcendentalist                                        1659          206981        1659000206981     105        2
PQSQED.Order_Bennettitales                                      1659          200520        1659000200520     106        3
PQSQED.Division_Spermatophyta                                   1659          187777        1659000187777     107       13
PQSQED.Order_Cycadofilicales                                    1659          184917        1659000184917     108        5
PQSQED.Subdivision_Gnetophytina                                 1659          182646        1659000182646     109       13
PQSQED.Lyginopteridales                                         1659          182359        1659000182359     110        5
PQSQED.Family_Bennettitaceae                                    1659          178873        1659000178873     111        5
PQSQED.Transcendentally                                         1659          176694        1659000176694     112        6
PQSQED.LogicalPositivist                                        1659          159006        1659000159006     113        8
PQSQED.Theoretically                                            1659          153871        1659000153871     114        5
PQSQED.Genus_Athrotaxis                                         1659          145224        1659000145224     115        3
PQSQED.ConiferousTree                                           1659          144412        1659000144412     116        6
PQSQED.Bennettitales                                            1659          139685        1659000139685     117        3
PQSQED.GymnospermousYellowwood                                  1659          137675        1659000137675     118        5
PQSQED.Genus_Austrotaxus                                        1659          132667        1659000132667     119        6
PQSQED.Bennettitaceae                                           1659          127797        1659000127797     120        5
PQSQED.Tergiversator                                            1659          124738        1659000124738     121        7
PQSQED.Cycadofilicales                                          1659          124082        1659000124082     122        5
PQSQED.Ralph_Waldo_Emerson                                      1659          118938        1659000118938     123        5
PQSQED.Phanerogamae                                             1659          117846        1659000117846     124       12
PQSQED.Antherozoid                                              1659          110004        1659000110004     125       12
PQSQED.Gnetophytina                                             1659          100541        1659000100541     126       13
PQSQED.CashmereGoat                                             1659           98990        1659000098990     127        9
PQSQED.Class_Gnetopsida                                         1659           96008        1659000096008     128       13
PQSQED.Spermatozoid                                             1659           94752        1659000094752     129       12
PQSQED.MalcolmStock                                             1659           83153        1659000083153     130        6
PQSQED.Conifer                                                  1659           75515        1659000075515     131        6
PQSQED.MaktabAl_Khidmat                                         1659           74611        1659000074611     132       21
PQSQED.DiospyrosLotus                                           1659           74222        1659000074222     133       14
PQSQED.Austrotaxus                                              1659           74194        1659000074194     134        6
PQSQED.Athrotaxis                                               1659           73516        1659000073516     135        3
PQSQED.Taliban                                                  1659           71893        1659000071893     136       12
PQSQED.Emerson                                                  1659           70549        1659000070549     137        5
PQSQED.Equivocator                                              1659           70337        1659000070337     138        7
PQSQED.David_Crockett                                           1659           62161        1659000062161     139        8
PQSQED.Gnetopsida                                               1659           60938        1659000060938     140       13
PQSQED.Gnetophyta                                               1659           58053        1659000058053     141       13
PQSQED.Hedger                                                   1659           56978        1659000056978     142        7
PQSQED.DatePlum                                                 1659           55092        1659000055092     143       14
PQSQED.Davy_Crockett                                            1659           51154        1659000051154     144        8
PQSQED.Ahmad_Shah_Masoud                                        1659           49798        1659000049798     145       13
PQSQED.KashmirGoat                                              1659           47677        1659000047677     146        9
PQSQED.Shina                                                    1659           46459        1659000046459     147        7
PQSQED.Brunnhilde                                               1659           45033        1659000045033     148       13
PQSQED.Crockett                                                 1659           43825        1659000043825     149        8
PQSQED.James_Bowie                                              1659           42950        1659000042950     150       13
PQSQED.Brunhild                                                 1659           32924        1659000032924     151       13
PQSQED.Masoud                                                   1659           31323        1659000031323     152       13
PQSQED.Khowar                                                   1659           30367        1659000030367     153        7
PQSQED.Kafiri                                                   1659           25796        1659000025796     154        9
PQSQED.Cycad                                                    1659           18205        1659000018205     155        8
PQSQED.Jim_Bowie                                                1659           16059        1659000016059     156       13
PQSQED.Tajiki                                                   1659           13072        1659000013072     157        9
PQSQED.Bowie                                                    1659           12571        1659000012571     158       13
PQSQED.Jirga                                                    1659           10345        1659000010345     159        7
PQSQED.Pul                                                      1659            7609        1659000007609     160        4
PQSQED.ThroughEmpiricalObservation                              1658          256933        1658000256933     161        4
PQSQED.KeplerSLawOfPlanetaryMotion                              1658          228699        1658000228699     162        9
PQSQED.TranscendentalPhilosophy                                 1658          209793        1658000209793     163        9
PQSQED.Transcendentalism                                        1658          192854        1658000192854     164        9
PQSQED.Islamic_PartyOf_Turkestan                                1658          178522        1658000178522     165       15
PQSQED.Subdivision_Pteropsida                                   1658          172152        1658000172152     166       11
PQSQED.EmpiricalResearch                                        1658          167494        1658000167494     167        4
PQSQED.MovementOf_Holy_Warriors                                 1658          162648        1658000162648     168       18
PQSQED.Willard_Van_Orman_Quine                                  1658          158324        1658000158324     169       10
PQSQED.Transcendental                                           1658          156788        1658000156788     170       11
PQSQED.Islamic_GroupOf_Uzbekistan                               1658          150686        1658000150686     171       15
PQSQED.CapitalOf_Afghanistan                                    1658          146616        1658000146616     172        6
PQSQED.ByTrialAndError                                          1658          144775        1658000144775     173        4
PQSQED.AfghanMonetaryUnit                                       1658          143962        1658000143962     174        6
PQSQED.ClematisVitalba                                          1658          140172        1658000140172     175       10
PQSQED.Genus_Malcolmia                                          1658          138555        1658000138555     176        7
PQSQED.LineOf_Control                                           1658          136056        1658000136056     177       12
PQSQED.Cayman_IslandsDollar                                     1658          129670        1658000129670     178        5
PQSQED.Fornicatress                                             1658          129369        1658000129369     179        3
PQSQED.CaimanSclerops                                           1658          123269        1658000123269     180        7
PQSQED.SpectacledCaiman                                         1658          122717        1658000122717     181        7
PQSQED.Dari_Persian                                             1658          122347        1658000122347     182        6
PQSQED.DardicLanguage                                           1658          119293        1658000119293     183       11
PQSQED.Respondent                                               1658          114373        1658000114373     184        8
PQSQED.Spermatophyta                                            1658          112352        1658000112352     185       12
PQSQED.Adulterously                                             1658          112218        1658000112218     186        4
PQSQED.TaraktogenosKurzii                                       1658          111344        1658000111344     187       10
PQSQED.Pamir_Mountains                                          1658          110400        1658000110400     188       14
PQSQED.Nibelungenlied                                           1658          108030        1658000108030     189       12
PQSQED.Indus_River                                              1658          107613        1658000107613     190       14
PQSQED.Empirically                                              1658          107226        1658000107226     191        5
PQSQED.Adulteress                                               1658          106024        1658000106024     192        3
PQSQED.HarkatUl_Mujahedeen                                      1658          105782        1658000105782     193       18
PQSQED.TaraktagenosKurzii                                       1658          105139        1658000105139     194       10
PQSQED.TravellerSJoy                                            1658          103812        1658000103812     195       10
PQSQED.PakistaniRupee                                           1658          101894        1658000101894     196        6
PQSQED.HarkatUl_Mujahidin                                       1658           99592        1658000099592     197       18
PQSQED.Pteropsida                                               1658           97956        1658000097956     198       11
PQSQED.NepaleseRupee                                            1658           97773        1658000097773     199        6
PQSQED.TravelerSJoy                                             1658           92475        1658000092475     200       10
PQSQED.ChaulmoograTree                                          1658           91650        1658000091650     201       10
PQSQED.Nanga_Parbat                                             1658           91160        1658000091160     202        5
PQSQED.GiulioDe__Medici                                         1658           90467        1658000090467     203       14
PQSQED.Gymnospermous                                            1658           90209        1658000090209     204        4
PQSQED.BattleOf_Panipat                                         1658           87928        1658000087928     205        5
PQSQED.Afghanistani                                             1658           87594        1658000087594     206        5
PQSQED.Rawalpindi                                               1658           85382        1658000085382     207       12
PQSQED.HarkatUl_Ansar                                           1658           79559        1658000079559     208       18
PQSQED.Buena_Vista                                              1658           79249        1658000079249     209       16
PQSQED.Cashmere                                                 1658           78158        1658000078158     210        3
PQSQED.Clement_VII                                              1658           77462        1658000077462     211       14
PQSQED.Al_Faran                                                 1658           76000        1658000076000     212       18
PQSQED.Herat                                                    1658           73468        1658000073468     213        9
PQSQED.ChaulmoograOil                                           1658           72884        1658000072884     214        8
PQSQED.Winfield_Scott                                           1658           71541        1658000071541     215       11
PQSQED.PipturusAlbidus                                          1658           70886        1658000070886     216        9
PQSQED.HydnocarpusKurzii                                        1658           70884        1658000070884     217       10
PQSQED.KeplerSLaw                                               1658           70821        1658000070821     218        9
PQSQED.Gasherbrum                                               1658           70072        1658000070072     219        5
PQSQED.LooseWoman                                               1658           69747        1658000069747     220        3
PQSQED.JaishI_Mohammed                                          1658           67292        1658000067292     221       16
PQSQED.Malcolmia                                                1658           66847        1658000066847     222        7
PQSQED.MazarI_Sharif                                            1658           62297        1658000062297     223        5
PQSQED.Pathan                                                   1658           60225        1658000060225     224        8
PQSQED.Gymnosperm                                               1658           60136        1658000060136     225        7
PQSQED.JaishE_Muhammad                                          1658           59144        1658000059144     226       16
PQSQED.ArmyOf_Muhammad                                          1658           58741        1658000058741     227       16
PQSQED.Panipat                                                  1658           55934        1658000055934     228        5
PQSQED.Strumpet                                                 1658           54605        1658000054605     229        3
PQSQED.Balochi                                                  1658           54513        1658000054513     230       11
PQSQED.Pashtoon                                                 1658           51677        1658000051677     231        8
PQSQED.Vitharr                                                  1658           51646        1658000051646     232        8
PQSQED.Dardic                                                   1658           51083        1658000051083     233       11
PQSQED.Chaulmugra                                               1658           51023        1658000051023     234       10
PQSQED.KeptWoman                                                1658           50300        1658000050300     235       10
PQSQED.The_Pamirs                                               1658           48885        1658000048885     236       14
PQSQED.Vithar                                                   1658           48281        1658000048281     237        8
PQSQED.Sindhi                                                   1658           47297        1658000047297     238        5
PQSQED.Baluchi                                                  1658           46483        1658000046483     239       11
PQSQED.Nibelung                                                 1658           46290        1658000046290     240        5
PQSQED.Jalalabad                                                1658           46227        1658000046227     241        5
PQSQED.Rakaposhi                                                1658           45831        1658000045831     242        8
PQSQED.Alamo                                                    1658           45100        1658000045100     243       18
PQSQED.Quine                                                    1658           44494        1658000044494     244       10
PQSQED.W__V__Quine                                              1658           44494        1658000044494     245       10
PQSQED.Kashmiri                                                 1658           42343        1658000042343     246        4
PQSQED.George_Town                                              1658           42289        1658000042289     247        2
PQSQED.Afghani                                                  1658           40853        1658000040853     248        5
PQSQED.Dari                                                     1658           39848        1658000039848     249        6
PQSQED.Panjabi                                                  1658           35281        1658000035281     250        8
PQSQED.Vidar                                                    1658           35123        1658000035123     251        8
PQSQED.Pushtun                                                  1658           33595        1658000033595     252        8
PQSQED.Pashtun                                                  1658           31705        1658000031705     253        8
PQSQED.Afghan                                                   1658           30800        1658000030800     254        5
PQSQED.Pashto                                                   1658           28936        1658000028936     255        7
PQSQED.Dard                                                     1658           28083        1658000028083     256       11
PQSQED.Nowrooz                                                  1658           25553        1658000025553     257       13
PQSQED.Hussy                                                    1658           24738        1658000024738     258        3
PQSQED.Pashtu                                                   1658           24590        1658000024590     259        7
PQSQED.Noruz                                                    1658           23790        1658000023790     260       13
PQSQED.Tadzhik                                                  1658           21332        1658000021332     261        9
PQSQED.Punjabi                                                  1658           18606        1658000018606     262        8
PQSQED.Big_Blue                                                 1658           17571        1658000017571     263       13
PQSQED.Skepful                                                  1658           15353        1658000015353     264        5
PQSQED.Paxto                                                    1658           14872        1658000014872     265        7
PQSQED.Kabul                                                    1658           13231        1658000013231     266        6
PQSQED.Taka                                                     1658           12970        1658000012970     267        6
PQSQED.Nowruz                                                   1658           12634        1658000012634     268       13
PQSQED.MAK                                                      1658           11366        1658000011366     269       20
PQSQED.Tajik                                                    1658           11119        1658000011119     270        9
PQSQED.BLU_82                                                   1658            8137        1658000008137     271       13
PQSQED.IMU                                                      1658            5745        1658000005745     272       15
PQSQED.JEM                                                      1658            5024        1658000005024     273       16
PQSQED.HUA                                                      1658            3707        1658000003707     274       18
PQSQED.International_Islamic_FrontFor_JihadAgainst_JewsAnd_Crusaders    1657          441207        1657000441207     275       17
PQSQED.AmericanAlligator                                        1657          215332        1657000215332     276        4
PQSQED.ArenariaGroenlandica                                     1657          194338        1657000194338     277        4
PQSQED.Great_Indian_Desert                                      1657          189558        1657000189558     278       10
PQSQED.AlligatorSinensis                                        1657          185237        1657000185237     279        6
PQSQED.ChineseAlligator                                         1657          179416        1657000179416     280        6
PQSQED.PakistaniMonetaryUnit                                    1657          178680        1657000178680     281        4
PQSQED.Islamic_StateOf_Afghanistan                              1657          178269        1657000178269     282       15
PQSQED.Catherine_Howard                                         1657          176086        1657000176086     283       11
PQSQED.AlligatorMississipiensis                                 1657          174625        1657000174625     284        4
PQSQED.QueenslandGrassClothPlant                                1657          168010        1657000168010     285        9
PQSQED.PlateTectonicTheory                                      1657          165000        1657000165000     286        6
PQSQED.Order_Ericales                                           1657          162862        1657000162862     287        1
PQSQED.Heterometabolous                                         1657          162047        1657000162047     288       12
PQSQED.Heterometabolism                                         1657          161941        1657000161941     289        8
PQSQED.Heterometabolic                                          1657          158586        1657000158586     290       12
PQSQED.MycobacteriumLeprae                                      1657          158295        1657000158295     291        2
PQSQED.NucifragaCaryocatactes                                   1657          156085        1657000156085     292        3
PQSQED.SpringCankerworm                                         1657          155369        1657000155369     293        4
PQSQED.Family_Cannabidaceae                                     1657          153846        1657000153846     294       18
PQSQED.Genus_Gerrhonotus                                        1657          146204        1657000146204     295        1
PQSQED.Genus_Septobasidium                                      1657          143784        1657000143784     296        9
PQSQED.Genus_Macroclemys                                        1657          140412        1657000140412     297        2
PQSQED.MountainSandwort                                         1657          137806        1657000137806     298        4
PQSQED.MountainStarwort                                         1657          136824        1657000136824     299        4
PQSQED.Islam_Nation                                             1657          135720        1657000135720     300        7
PQSQED.Heterometaboly                                           1657          135671        1657000135671     301        8
PQSQED.ErythemaNodosumLeprosum                                  1657          134987        1657000134987     302       11
PQSQED.CapitalOf_Pakistan                                       1657          133013        1657000133013     303        8
PQSQED.PondScumParasite                                         1657          131729        1657000131729     304        9
PQSQED.PipturusArgenteus                                        1657          131582        1657000131582     305        9
PQSQED.Ericales                                                 1657          129205        1657000129205     306        1
PQSQED.MovementFor_Revenge                                      1657          128653        1657000128653     307        9
PQSQED.CommonNutcracker                                         1657          128491        1657000128491     308        3
PQSQED.TorchSinger                                              1657          127298        1657000127298     309        6
PQSQED.Adulterine                                               1657          124864        1657000124864     310        2
PQSQED.CoRespondent                                             1657          124788        1657000124788     311        9
PQSQED.PlateTectonics                                           1657          124385        1657000124385     312        6
PQSQED.Alligatored                                              1657          122549        1657000122549     313        5
PQSQED.AilanthusSilkworm                                        1657          120236        1657000120236     314        5
PQSQED.FallCankerworm                                           1657          118565        1657000118565     315        5
PQSQED.NucifragaColumbiana                                      1657          118356        1657000118356     316        3
PQSQED.TuberculoidLeprosy                                       1657          118025        1657000118025     317        6
PQSQED.ClarkSNutcracker                                         1657          116179        1657000116179     318        3
PQSQED.LepromatousLeprosy                                       1657          115826        1657000115826     319       12
PQSQED.MonotropaHypopithys                                      1657          109907        1657000109907     320       20
PQSQED.Family_Anguidae                                          1657          108588        1657000108588     321        1
PQSQED.Nandrolone                                               1657          106639        1657000106639     322       12
PQSQED.LeprosyBacillus                                          1657          104935        1657000104935     323        2
PQSQED.Cannabidaceae                                            1657          102770        1657000102770     324       18
PQSQED.Adulterous                                               1657          102211        1657000102211     325        2
PQSQED.Muhammad_Ali_Jinnah                                      1657          101987        1657000101987     326        9
PQSQED.Thar_Desert                                              1657          100663        1657000100663     327       10
PQSQED.MountainDaisy                                            1657           99048        1657000099048     328        4
PQSQED.Genus_Wynnea                                             1657           97292        1657000097292     329        6
PQSQED.Gerrhonotus                                              1657           97103        1657000097103     330        1
PQSQED.Fornicator                                               1657           91321        1657000091321     331        5
PQSQED.FalseBeachdrops                                          1657           90589        1657000090589     332       20
PQSQED.LashkarE_Jhangvi                                         1657           88692        1657000088692     333        9
PQSQED.Afghanistan                                              1657           87485        1657000087485     334       15
PQSQED.Empirical                                                1657           86024        1657000086024     335        3
PQSQED.LeglessLizard                                            1657           84786        1657000084786     336        7
PQSQED.Pakistani                                                1657           83945        1657000083945     337        5
PQSQED.Adulterer                                                1657           80635        1657000080635     338        5
PQSQED.Islamic_Ummah                                            1657           78907        1657000078907     339        7
PQSQED.CornusObliqua                                            1657           78543        1657000078543     340        7
PQSQED.PlayAround                                               1657           76340        1657000076340     341        2
PQSQED.Gymnospermae                                             1657           74741        1657000074741     342       19
PQSQED.Hyderabad                                                1657           73825        1657000073825     343        8
PQSQED.TorchRace                                                1657           72786        1657000072786     344        6
PQSQED.Faisalabad                                               1657           72640        1657000072640     345        4
PQSQED.Septobasidium                                            1657           72076        1657000072076     346        9
PQSQED.Linkman                                                  1657           71901        1657000071901     347        8
PQSQED.FoolAround                                               1657           71645        1657000071645     348        2
PQSQED.Coracle                                                  1657           71015        1657000071015     349       15
PQSQED.Tirich_Mir                                               1657           70703        1657000070703     350        5
PQSQED.Panchayat                                                1657           70393        1657000070393     351        8
PQSQED.Pinesap                                                  1657           70337        1657000070337     352       20
PQSQED.JammuAnd_Kashmir                                         1657           69946        1657000069946     353       10
PQSQED.Macroclemys                                              1657           68704        1657000068704     354        2
PQSQED.HempFamily                                               1657           67622        1657000067622     355       18
PQSQED.Andvari                                                  1657           66977        1657000066977     356        7
PQSQED.Anne_Boleyn                                              1657           65746        1657000065746     357       11
PQSQED.Al_Qanoon                                                1657           65430        1657000065430     358       12
PQSQED.JellyFungus                                              1657           64549        1657000064549     359       12
PQSQED.TareekhE_Kasas                                           1657           64274        1657000064274     360        9
PQSQED.LashkarE_Omar                                            1657           63966        1657000063966     361       12
